utility_account_number,computed_gross_cost,rce_scaled_usage,model_rate,marg_based_rate,model_rate_adder
20840000,575.24,3846.8713875017784,0.279,0.1661494474788339,-0.11285055252116613
23190007,678.94,3318.965275875105,0.208,0.22729306126255644,0.01929306126255645
29618013,475.72,4510.024427039894,0.155,0.11720064632215398,-0.03779935367784602
30692025,437.28999999999996,5042.078025378669,0.142,0.09636458922931632,-0.04563541077068367
40420004,517.06,4674.115723723816,0.262,0.12291332629937636,-0.13908667370062366
41871005,328.4,9162.27056458794,0.052,0.039825159747975555,-0.012174840252024442
42089038,641.16,2902.2111085667743,0.303,0.24546801502383161,-0.05753198497616838
42623003,782.41,4111.45645064521,0.18499999999999997,0.21144440051359864,0.02644440051359867
44645007,273.91999999999996,2042.7658157865085,0.123,0.14899189775132013,0.02599189775132013
45508003,528.8100000000001,5229.923089840468,0.155,0.11234709508597951,-0.04265290491402049
45524016,95.1,6708.58646422241,0.104,0.01575095845156025,-0.08824904154843974
45888006,382.38,1262.638546506204,0.171,0.336491126334055,0.16549112633405497
47858006,158.16,14273.331766022944,0.552,0.012312005088514724,-0.5396879949114853
49182005,544.44,5086.830197201556,0.145,0.11892147169884468,-0.026078528301155313
49850008,452.9,5567.454269840566,0.107,0.09038641322089079,-0.016613586779109207
50255019,615.12,4521.418085691416,0.109,0.15116201459661097,0.04216201459661097
61633029,782.24,3739.5468780262977,0.118,0.23242269288365996,0.11442269288365997
63491092,722.5799999999999,2694.2028038572107,0.09500000000000001,0.2979978587793117,0.20299785877931165
68116058,238.92,2265.3220981434833,0.127,0.11718716154502999,-0.00981283845497001
69415014,396.61,1164.336237522157,0.079,0.3784798270262475,0.2994798270262475
81598012,374.85,1749.179896592866,0.39399999999999996,0.23811158635614216,-0.1558884136438578
83263021,785.74,2820.387281561024,0.295,0.3095477171352273,0.01454771713522729
84430017,621.33,4301.180958533086,0.141,0.16050630590118573,0.01950630590118574
86812017,535.26,1313.3108732157843,0.17699999999999996,0.4528503840656281,0.2758503840656281
87675009,654.04,6478.925091705641,0.141,0.1121653825017133,-0.028834617498286683
87982063,777.62,2457.263192249954,0.247,0.35161973082382514,0.10461973082382514
88491007,427.75,1570.7473259976123,0.343,0.302580669666854,-0.04041933033314604
89407090,298.23,6785.0327964786375,0.165,0.04883788724479601,-0.116162112755204
105268013,748.09,2915.8879530824606,0.21,0.28506277486842946,0.07506277486842947
106621005,946.4100000000001,3409.521393785943,0.18299999999999997,0.3084206095856181,0.12542060958561815
120648044,744.2,3025.1406892070445,0.208,0.2733389861301408,0.0653389861301408
120774003,712.4000000000001,3154.7926214283884,0.119,0.2509057331309355,0.1319057331309355
120788025,312.01,1537.0648320738874,0.271,0.22554531893753768,-0.04545468106246234
123306007,337.34000000000003,1651.0193834712718,0.18099999999999997,0.22702472543608646,0.04602472543608649
124727037,1066.73,2488.1043127842954,0.115,0.47636891647408613,0.36136891647408614
126837072,410.34,5469.693878798589,0.48100000000000004,0.0833562797911971,-0.39764372020880295
127928018,141.12,4702.903698372714,0.054,0.033341103721570044,-0.020658896278429956
147197019,607.79,5213.615623649046,0.145,0.1295304968703388,-0.015469503129661194
148274006,655.0799999999999,3680.678722730418,0.10000000000000002,0.19775338232365935,0.09775338232365934
148406044,502.7,4626.395940008819,0.17899999999999996,0.12073232874972883,-0.05826767125027113
150830103,185.68,2282.3083870188025,0.556,0.0903958081583352,-0.46560419184166485
152330035,838.9200000000001,3054.702324606462,0.102,0.3051470271995882,0.20314702719958821
161419021,662.83,3162.548650207942,0.414,0.23287476628362802,-0.18112523371637196
162208013,896.26,2512.739008950477,0.148,0.3963182968454768,0.24831829684547682
162749000,565.64,3897.679423962545,0.114,0.16124694222541797,0.04724694222541796
162797006,917.81,2517.665948183713,0.109,0.405053295344675,0.296053295344675
163504032,215.97,2506.3250508564106,0.108,0.09574443130777074,-0.012255568692229254
164597004,411.46,6623.266493093912,0.17699999999999996,0.06902602790548705,-0.10797397209451291
164738005,525.21,5462.6241310472105,0.167,0.1068289987864851,-0.060171001213514916
168962025,915.96,2837.916998344068,0.664,0.3586198376933446,-0.30538016230665543
179378039,651.76,3983.735934960545,0.104,0.18178357943420015,0.07778357943420015
180471014,854.32,2515.194740986692,0.296,0.37740395563647805,0.08140395563647806
184494013,868.0,3802.879211532889,0.078,0.253609013275941,0.17560901327594097
185437003,342.34000000000003,1848.6414005837423,0.08700000000000001,0.20576071576546245,0.11876071576546245
191189018,364.97,9060.641249921426,0.107,0.0447564593980298,-0.062243540601970196
191730015,257.27,2070.90197593059,0.142,0.13803432459766818,-0.003965675402331809
200219003,246.36,3125.143359873171,0.154,0.08759064843170662,-0.06640935156829338
202085023,455.51,6794.347177417371,0.17,0.07449166329098397,-0.09550833670901604
202586016,649.8199999999999,4843.181266271214,0.127,0.14908015672477817,0.02208015672477817
205540183,395.53,1465.9050889608563,0.20099999999999998,0.29979961259927995,0.09879961259927997
219809033,415.29999999999995,1105.3548521317289,0.23,0.4174627211836335,0.18746272118363347
220455005,316.26,1583.7594225207577,0.453,0.22187713298065276,-0.23112286701934726
220491010,359.13,1321.6199318966324,0.132,0.30192744805285127,0.16992744805285126
220952027,917.55,2699.962699813454,0.144,0.3775978090624879,0.23359780906248792
223371006,878.41,2815.499262008925,0.297,0.346656496871075,0.04965649687107504
224817083,776.28,2913.2596530509018,0.18600000000000003,0.2960715610879545,0.11007156108795449
225951002,634.34,3399.5880709329977,0.226,0.2073257722747532,-0.018674227725246795
226928016,413.5,1395.6507245902703,0.09700000000000002,0.32919729582007445,0.23219729582007442
239462018,241.28,3740.921736835789,0.038,0.07166385927005478,0.03366385927005478
240446066,993.4,2804.469434234289,0.457,0.3935781093934956,-0.06342189060650444
240528027,922.12,2600.5984292633566,0.253,0.3939776961520348,0.14097769615203481
244389035,577.27,3949.519798095854,0.292,0.1624023030395616,-0.12959769696043838
244413027,317.28,1896.1707464715514,0.09900000000000002,0.18591855928024276,0.08691855928024274
245477052,346.15999999999997,9117.69735643589,0.163,0.04218414005052818,-0.12081585994947183
245507000,362.89,9586.827534829292,0.165,0.04205886771679478,-0.12294113228320522
245659018,613.5799999999999,3892.7268452789845,0.13,0.17513572943921663,0.04513572943921662
245915002,5235.49,25248.474728128087,0.288,0.2303985160984969,-0.057601483901503076
255668001,247.73000000000002,2499.671090544403,0.064,0.11011670959302398,0.04611670959302398
259257004,676.42,4219.597038394013,0.121,0.1781160075095298,0.057116007509529804
259807013,619.92,4936.8997476198165,0.09000000000000001,0.13952075902130381,0.049520759021303803
261653007,566.9300000000001,4394.329577336847,0.10100000000000002,0.1433488797633568,0.042348879763356786
264834004,363.59000000000003,7195.154736413149,0.18899999999999997,0.05614735244599911,-0.13285264755400086
266629001,354.58,1633.5085718283947,0.20000000000000004,0.24118500788569255,0.041185007885692515
279176028,977.41,2486.2289666183233,0.34,0.4368105776630313,0.09681057766303125
279815048,397.02,1677.1069540493081,0.122,0.263032320191765,0.14103232019176498
280663014,643.97,3670.90268362622,0.761,0.194917240768532,-0.566082759231468
281069010,200.03,11811.9001602931,0.073,0.018816240616619004,-0.05418375938338099
284823007,601.81,5203.240269174123,0.129,0.1285118009520465,-0.000488199047953497
285878006,190.09,16115.691036307653,0.062,0.013105929533847824,-0.04889407046615218
298925050,881.4300000000001,2491.056595679718,0.124,0.39315311758279553,0.26915311758279553
301381028,718.23,2790.5140366723476,0.649,0.2859807629869434,-0.3630192370130566
301463105,203.63,2400.7608349659486,0.11,0.09424327165798865,-0.015756728342011347
308232028,1032.28,2478.225912914106,0.148,0.46282212279390816,0.3148221227939082
333482090,807.6500000000001,2512.442049778798,0.266,0.3571779452457013,0.09117794524570128
338458003,591.16,4462.7618510662305,0.251,0.14718339592499496,-0.10381660407500504
338462016,587.3,4907.571630307223,0.256,0.1329691351880898,-0.1230308648119102
339193001,576.1899999999999,5343.30755458559,0.158,0.11981550838519228,-0.03818449161480772
340973015,234.06,2208.8638115229287,0.122,0.11773775517982725,-0.0042622448201727475
341811005,408.34000000000003,9341.005364060862,0.325,0.04857197843572022,-0.2764280215642798
341965008,368.21000000000004,1875.930052243678,0.075,0.21809033963334495,0.14309033963334494
342200006,953.44,2560.483179401062,0.301,0.41374135409301277,0.11274135409301278
342834011,728.95,4351.149457016659,0.123,0.18614493766430593,0.06314493766430593
342922007,906.15,2744.7998718037725,0.278,0.36681484274177073,0.0888148427417707
344675010,669.08,4878.243512994631,0.17,0.15239547190333969,-0.017604528096660327
346844004,553.38,4408.9936359931435,0.105,0.13945737223278287,0.034457372232782876
347193131,561.45,3384.167972037756,0.139,0.18433876169500413,0.045338761695004115
347410137,435.36,4888.210795274319,0.19499999999999998,0.09895918027941489,-0.09604081972058509
348459012,404.45,7112.068448303796,0.281,0.06318680594195725,-0.21781319405804278
357794060,448.48,5743.195383937241,0.127,0.08676548119968269,-0.04023451880031731
359527012,793.79,3798.962141409569,0.167,0.2321657484487685,0.06516574844876849
360642182,584.1700000000001,4277.279348395794,0.25,0.15175014884665328,-0.09824985115334672
362728032,130.2,3743.961668889931,0.17899999999999996,0.03863999673628061,-0.14036000326371936
