utility_account_number,computed_gross_cost,rce_scaled_usage,model_rate,marg_based_rate,model_rate_adder
08000082660000043072,192.57999999999998,3935.7235166794026,0.123,0.05436809188220424,-0.06863190811779576
08000103050000003020,232.51,1810.0659165181237,0.114,0.14272653945188946,0.028726539451889452
08000210260000369869,579.07,4254.010997284291,0.068,0.15124810714449421,0.08324810714449421
08000258380000129658,616.18,4493.820440758651,0.079,0.15235242561869297,0.07335242561869297
08000486010000409100,172.46,2872.837976099532,0.128,0.06670136771249062,-0.06129863228750938
08000565110000229883,506.69,4759.69612808892,0.071,0.11828252765265,0.04728252765265001
08000654150000321735,333.65,9172.396893605932,0.10000000000000002,0.040417158843252005,-0.059582841156748015
08000692250000177373,574.22,3942.352687528101,0.09600000000000002,0.16183793607321045,0.06583793607321044
08000953930000536269,556.21,4055.907543979386,0.075,0.15237307665666358,0.07737307665666358
08001059200000773907,210.01,2846.2473633392774,0.079,0.08198319213221152,0.002983192132211515
08001161620000536920,733.73,2744.732476323864,0.06,0.2970255070714439,0.23702550707144387
08001225850000412294,715.74,2824.579239271467,0.073,0.2815522593983898,0.20855225939838978
08001320780000453658,749.27,2877.7133216923153,0.128,0.2892999159946327,0.16129991599463267
08001341460000369739,486.03999999999996,4921.306839995553,0.074,0.10973598314486166,0.03573598314486166
08001390460000369468,687.02,3019.20572395625,0.133,0.2528332367346217,0.1198332367346217
08001441880000285292,573.86,3298.669394272862,0.08800000000000001,0.19329679516512313,0.10529679516512312
08001472130000232657,336.15,1547.1464858670756,0.164,0.241412176165515,0.07741217616551499
08001666520000552524,350.87,7737.720188304154,0.069,0.05038377533279589,-0.01861622466720412
08001711760000285902,696.56,2966.3385508024044,0.053,0.2609127523040814,0.2079127523040814
08001719730000632052,410.87,6246.87043696197,0.05000000000000001,0.07308014898484783,0.023080148984847816
08001982380000092346,197.24,2599.1245915032705,0.118,0.08431898812084314,-0.033681011879156855
08002125460000456108,573.65,4566.8059235551955,0.144,0.1395699531703967,-0.004430046829603296
08002254030006401948,508.4,5228.473071608506,0.04700000000000001,0.10804089093550681,0.061040890935506804
08002328840000814785,228.04000000000002,2696.196799932096,0.034,0.0939759952923908,0.059975995292390796
08002350300000054620,217.32999999999998,3779.4719018042024,0.052,0.06389193624180768,0.011891936241807684
08002415300000013441,278.47,8429.823263000857,0.074,0.036704341414741194,-0.0372956585852588
08002622520000634980,773.48,2739.742053639639,0.09100000000000001,0.31368727617277464,0.22268727617277462
08002672120000328555,249.72,2526.602683497642,0.033,0.10981808437033808,0.07681808437033807
08002795650000282824,234.32,3275.317077205335,0.085,0.07949018352070633,-0.005509816479293675
08002918890000458681,754.74,2824.579239271467,0.08600000000000001,0.29689377743082784,0.21089377743082782
08002926860000639680,237.32999999999998,2208.93074123589,0.113,0.11937902582335409,0.00637902582335409
08003318980000186912,758.78,3286.168818099322,0.114,0.25655677950730504,0.14255677950730505
08003323010003185698,497.37,6901.754572283462,0.062,0.0800714264098344,0.018071426409834404
08003481820000187340,404.71,6128.239056228555,0.106,0.07337797590006528,-0.03262202409993471
08003511420000377783,450.89,5863.659057215564,0.165,0.08543963487651857,-0.07956036512348144
08003512230000377791,367.17,1300.6461675579333,0.059,0.31366460521131323,0.25466460521131323
08003847680000593691,734.55,2794.6367031661166,0.115,0.2920475014666522,0.1770475014666522
08004369210000465688,153.01999999999998,3245.112188057044,0.065,0.0523933264458324,-0.0126066735541676
08004483660000462973,246.64,12468.418938589928,0.16,0.021979085383173412,-0.13802091461682658
08004601510006360202,608.63,3628.037291431726,0.033,0.1863970795318606,0.1533970795318606
08004691240000926259,621.56,3398.4778479573665,0.084,0.20321516076302107,0.11921516076302106
08004898400003043193,481.77,5145.476537156368,0.064,0.10403312426643226,0.040033124266432255
08004898690000290853,506.05,4216.9071681703,0.121,0.13333890345557406,0.012338903455574063
08005085360000941036,656.49,3102.444200407437,0.069,0.23511569788669798,0.16611569788669797
08005086400000320198,214.29999999999998,2413.458041549955,0.155,0.09865972683668159,-0.05634027316331841
08005174320000061513,443.17,1149.0503140650208,0.133,0.4285374670575542,0.2955374670575542
08005293790000061907,344.52,1562.979856336475,0.10000000000000002,0.24491678408271922,0.14491678408271919
08005328540000646034,173.37,4278.54966986795,0.09600000000000002,0.04502304476911183,-0.05097695523088819
08005496860000559652,768.84,2704.8090948500626,0.102,0.3158325178265573,0.21383251782655732
08005616150000280982,335.31,1350.3603100331052,0.10000000000000002,0.27590167150094397,0.17590167150094393
08005686120000647008,187.73000000000002,3322.7458885069204,0.08600000000000001,0.06277605808207577,-0.023223941917924235
08005766420000552556,801.51,2986.948973639799,0.102,0.29815262146291405,0.19615262146291407
08005808440006272965,390.91999999999996,1210.0948561242685,0.063,0.3589433946911597,0.2959433946911597
08005893160000247031,579.26,5614.668926562723,0.073,0.1146322660588725,0.041632266058872505
08006244870000194073,646.39,3044.5372823701305,0.043000000000000003,0.23590156549240665,0.19290156549240664
08006284980003137471,934.8299999999999,2929.2047931300667,0.04900000000000001,0.35460135885209787,0.3056013588520979
08006370770000942796,467.71,6071.6586171810095,0.075,0.08559074390434969,0.010590743904349692
08006409500000602313,607.95,4019.4148025811137,0.052,0.1680592905131911,0.11605929051319111
08006441800000554584,583.19,3973.849513260682,0.076,0.16306326818027675,0.08706326818027675
08006530340000203345,268.24,2537.516733966314,0.126,0.11745516411967868,-0.008544835880321316
08006537080000284518,313.82,1644.4086187505318,0.168,0.2120451601341232,0.044045160134123185
08006696520000699359,295.32,10310.213265609276,0.112,0.03182604713210483,-0.08017395286789517
08006934210000875408,497.68,3591.928403344212,0.03,0.15395011138388393,0.12395011138388393
