utility_account_number,computed_gross_cost,rce_scaled_usage,model_rate,marg_based_rate,model_rate_adder
0000038528,225.61,8182.144812826158,0.04900000000000001,0.030637171977794937,-0.018362828022205072
00040621001159504,551.76,3041.9484055249204,0.09100000000000001,0.20153749667587653,0.11053749667587652
00040621001477193,274.96,5273.038189221711,0.125,0.05793834600621465,-0.06706165399378536
00040621001507954,276.7,5774.492382600332,0.037,0.05324181314548691,0.016241813145486915
00040621001586045,94.31,14146.245531173741,0.021,0.007407540655078277,-0.013592459344921724
00040621002165352,206.41,1528.973739306329,0.068,0.14999894278661344,0.08199894278661343
00040621002673923,161.89,10121.752150112548,0.019,0.017771407075580056,-0.001228592924419944
00040621003279394,183.93,7322.762392607583,0.037,0.027908411567877347,-0.009091588432122651
00040621003673871,113.55000000000001,2740.4860306508967,0.051,0.04603806232017196,-0.004961937679828034
00040621004174494,97.18,15669.299417239507,0.038,0.00689104055660457,-0.03110895944339543
00040621004334692,395.09000000000003,3555.4734757495494,0.032,0.12346847526301492,0.09146847526301492
00040621005197574,222.08,7705.6140547060995,0.072,0.032022828265691944,-0.03997717173430805
00040621005217082,84.73,3542.0575887220416,0.154,0.026579027044676407,-0.1274209729553236
00040621005519043,444.08,3862.635616708542,0.068,0.12774236847188833,0.059742368471888324
00040621005584723,140.81,11049.705511159238,0.038,0.014159251158100919,-0.02384074884189908
00040621005730395,320.57,4551.689494395485,0.055,0.07825421512769398,0.023254215127693982
00040621005994131,130.53,14752.712622594201,0.03,0.009830960382920402,-0.020169039617079595
00040621006831364,130.9,10192.357297148708,0.019,0.014269951514075379,-0.004730048485924621
00040621006977472,165.8,1520.1243000798804,0.081,0.1211889200195942,0.040188920019594204
00040621007085314,335.96,4314.750727061195,0.08,0.08651458971840498,0.006514589718404976
00040621007517775,244.76999999999998,6082.129094686464,0.032,0.04471570110280381,0.01271570110280381
00040621007927442,437.24,4010.0644570409286,0.104,0.12115072648500913,0.017150726485009135
00040621008005022,243.88,7186.595323323558,0.024000000000000004,0.03770600201994673,0.013706002019946723
00040621008133151,259.99,1448.5260405844151,0.07,0.19942877772582437,0.12942877772582437
00040621008309061,346.33,4586.473147736935,0.03,0.08390131125066876,0.05390131125066876
00040621008414035,441.74,3827.8076143176004,0.083,0.1282254156103201,0.045225415610320105
00040621009326340,322.7,4988.969707830859,0.059,0.07186965978020558,0.012869659780205586
00040621009849165,485.58,3187.318066203852,0.113,0.16927502123311036,0.05627502123311036
00040621009899144,227.83,1381.4745154510667,0.04,0.1832422108501871,0.1432422108501871
00040621009965210,202.1,8300.243710713394,0.068,0.02705409182934164,-0.040945908170658366
00040621010130901,374.2,4483.426836796241,0.063,0.09273660369907663,0.02973660369907663
00040621010135402,368.28,4407.778464971782,0.067,0.09283588166961552,0.02583588166961552
00040621010299644,478.88,3065.9305873821113,0.04700000000000001,0.17354890260030986,0.12654890260030985
00040621010522444,58.86,6321.953408205138,0.03,0.010344903825946999,-0.019655096174052998
00040621011595504,448.83,3545.387026172955,0.038,0.1406616531054209,0.10266165310542089
00040621011734862,54.900000000000006,5375.025149453721,0.021,0.011348784108703122,-0.00965121589129688
00040621012035733,146.29,3997.416390258365,0.054,0.04066237503817777,-0.013337624961822232
00040621012065511,199.69,8727.787347677317,0.013,0.025421996313512957,0.012421996313512958
00040621012103474,380.53999999999996,3313.6814464285726,0.068,0.12759893461634114,0.05959893461634114
00040621012714453,222.27,6683.430534892934,0.05000000000000001,0.03695208102744543,-0.013047918972554577
00040621013029440,372.28000000000003,3831.1709608940164,0.034,0.10796815090389993,0.07396815090389992
00040621014018655,301.96,5068.440912238719,0.071,0.06619611768600388,-0.004803882313996116
00040621014699865,239.39,5572.7633910684435,0.052,0.04773016010606039,-0.004269839893939607
00040621015176530,413.36,4054.2931091406454,0.157,0.11328457921638539,-0.04371542078361461
00040621015183312,612.42,2466.975928228611,0.104,0.2758302822821905,0.1718302822821905
00040621015408432,224.42000000000002,6823.483138566156,0.117,0.036543734408341126,-0.08045626559165889
00040621016089260,289.35,4884.618747806508,0.055,0.06581885231971751,0.010818852319717513
00040621016165762,107.18,2493.734633967224,0.06,0.04775523717190115,-0.012244762828098846
00040621016170244,146.07,13242.633736423544,0.036,0.012255870186426569,-0.023744129813573427
00040621017051012,223.94,6393.497375747853,0.18000000000000002,0.038918014288403024,-0.141081985711597
00040621017365752,237.67000000000002,7373.194640490556,0.021,0.035815923850371606,0.014815923850371605
00040621017375134,84.23,2973.060785791589,0.033,0.031478969194358566,-0.0015210308056414351
00040621017426165,206.33,6465.414178597053,0.067,0.03545875781855978,-0.03154124218144022
00040621017817322,277.51,6421.156622118756,0.15,0.04802007840492475,-0.10197992159507524
00040621018993390,826.63,142010.55109042724,0.019,0.0064676727942061425,-0.012532327205793857
00040621019630151,115.05,3154.8542649067213,0.031,0.040519568448944804,0.009519568448944804
00040621021030054,1826.12,60463.2474128058,0.043,0.03355794319761406,-0.00944205680238594
00040621021087591,574.11,2748.5575096219927,0.066,0.23208537488005115,0.16608537488005115
00040621021629921,299.93,8040.295884461277,0.067,0.04144817060770204,-0.025551829392297963
00040621021724545,241.79,5517.2879183971745,0.068,0.04869340870534133,-0.019306591294658677
00040621021877570,253.29000000000002,1239.9576138682746,0.04900000000000001,0.22697012396685928,0.17797012396685927
00040621021971831,446.32,3985.492983652198,0.124,0.12442905134829056,0.0004290513482905628
00040621023041203,404.74,3351.9346232993207,0.059,0.13416464270668232,0.07516464270668233
00040621023225201,252.43,1240.4068645640077,0.055,0.2261175633499604,0.1711175633499604
00040621023487975,2912.23,36418.03049339652,0.224,0.08885189746045828,-0.13514810253954174
00040621023716763,383.47,5150.1808222780555,0.036,0.08273064431732181,0.046730644317321816
00040621023751471,557.39,2608.774000608766,0.042,0.23739972189147135,0.19539972189147134
00040621023865013,472.0,3288.1825619697966,0.051,0.15949371257849937,0.10849371257849938
00040621025627362,264.78,4456.495105442178,0.076,0.0660160042901717,-0.009983995709828303
00040621025745780,135.38,9854.461236332794,0.09000000000000001,0.015264378093814476,-0.07473562190618553
00040621026405201,133.26,10010.801204770009,0.045000000000000005,0.014790690938514985,-0.030209309061485022
00040621026548303,425.90999999999997,3429.392856042119,0.051,0.13799332803168385,0.08699332803168386
