utility_account_number,computed_gross_cost,rce_scaled_usage,model_rate,marg_based_rate,model_rate_adder
14145049,146.06,1100.0624882364011,0.033,0.14752697289866443,0.11452697289866443
23103022,965.84,8281.50409506312,0.063,0.12958461931997345,0.06658461931997345
36100017,218.60999999999999,9401.063521118871,0.081,0.025837502262838784,-0.05516249773716122
47139051,60.77,5544.756919137201,0.017,0.012177670402317492,-0.00482232959768251
50860349,384.81,3298.3817606388984,0.076,0.12962922356927137,0.05362922356927137
51230159,836.89,7612.439773363638,0.037,0.12215239863459719,0.0851523986345972
52300204,271.69,2540.4401781793085,0.08900000000000001,0.11882892593602758,0.029828925936027567
72052021,121.06,2364.743865680485,0.013,0.056881894510128615,0.04388189451012862
79021006,442.99,4380.539186683795,0.08600000000000001,0.11236313388255072,0.02636313388255071
84117064,124.38,2962.696608555765,0.04,0.04664669328641409,0.006646693286414089
86019016,271.63,6689.10093130093,0.029,0.045119832128532905,0.016119832128532904
91881870,135.48000000000002,2033.1140533087678,0.03,0.07404077163715908,0.04404077163715908
93130002,63.71,8806.358178334223,0.018,0.008038384023834815,-0.009961615976165183
98030016,103.41,2583.5318937713296,0.017,0.044474000989503513,0.027474000989503512
101073036,60.5,5299.006932035099,0.031,0.012685815112984826,-0.018314184887015174
106549093,150.79,1500.313331005264,0.04,0.11167296922715711,0.0716729692271571
113130534,438.52,4803.662029796696,0.04,0.10143187456197163,0.061431874561971626
127095014,58.120000000000005,5604.975665961581,0.015,0.011521509035258035,-0.003478490964741964
134236016,79.03,5154.295096140166,0.018,0.017036492764426536,-0.0009635072355734624
168109000,226.13,1523.2238747168333,0.029,0.16494985387638034,0.13594985387638034
179050345,129.07,10159.590237764094,0.016,0.014115836146426393,-0.001884163853573607
189104032,80.81,3990.216063279443,0.027,0.022502262400070135,-0.004497737599929864
193075026,98.1,3457.351784365871,0.035,0.03152702033183244,-0.003472979668167564
194810655,281.43,3359.652010062531,0.04700000000000001,0.09307511583444618,0.04607511583444617
204168025,94.9,4194.46732688282,0.067,0.025138935704335796,-0.041861064295664205
213065153,372.02,25244.58494678661,0.072,0.016374028585808525,-0.05562597141419147
232051124,79.5,3200.68531155855,0.085,0.02759825622792016,-0.05740174377207985
233077006,374.55,24804.687604263843,0.017,0.01677774271162879,-0.00022225728837121234
247347039,189.34,9400.96700482616,0.022000000000000002,0.022378312536335515,0.0003783125363355129
261005038,181.77,10240.121705924937,0.024000000000000004,0.019723072876156218,-0.004276927123843786
275168048,58.11,9308.744117529408,0.031,0.006936130787511969,-0.02406386921248803
285096004,271.8,4661.066449981943,0.026,0.06479203916974192,0.03879203916974193
286058017,63.92,6359.852260415646,0.017,0.01116727548283969,-0.005832724517160312
304404064,979.26,8119.96581308897,0.068,0.13399892212757333,0.06599892212757333
307593004,54.65,5930.6276634164,0.017,0.01023875138828772,-0.006761248611712281
325903017,276.81,8557.858042329186,0.07,0.03593967849727926,-0.034060321502720745
326073027,84.14,4711.001674381959,0.019,0.019844800607325998,0.0008448006073259982
330104017,392.0,5529.28198039458,0.035,0.07877253449904059,0.04377253449904059
333061019,119.48,16003.3232870416,0.022000000000000002,0.008295499201909641,-0.01370450079809036
334950930,67.71000000000001,3271.4737640662547,0.031,0.02299677110655554,-0.008003228893444458
338055002,433.53,18523.364231952775,0.041,0.02600499531122258,-0.014995004688777423
339039011,120.22,1802.5136029854334,0.035,0.07410639096234174,0.03910639096234174
358054190,3536.36,24506.249750419924,0.103,0.1603382373437845,0.0573382373437845
364066008,109.48,2479.254247317627,0.044000000000000004,0.04906493336698119,0.005064933366981182
365126003,1078.45,45112.8794526311,0.057,0.02656176666878423,-0.030438233331215772
365292451,173.56,5447.946344584681,0.065,0.03539764018346729,-0.02960235981653271
367310183,242.8,9425.311347153307,0.035,0.028622691372339422,-0.006377308627660581
396004078,585.85,12564.449011042263,0.058,0.05180843536173867,-0.006191564638261336
401000108,135.28,1092.2001519682678,0.04800000000000001,0.13762231294349625,0.08962231294349624
415105010,186.93,13400.540615139405,0.026,0.015499374686820371,-0.010500625313179628
421019007,877.55,8399.96463422997,0.053,0.11607853104311783,0.06307853104311784
428660020,70.79,4394.557957691759,0.017,0.017898399864743026,0.0008983998647430248
435820070,97.83,3442.0245290175767,0.042,0.03158025141413654,-0.010419748585863461
437007013,79.75,3824.223075047017,0.063,0.023171009999206616,-0.03982899000079339
438040254,80.99000000000001,2700.5782316275263,0.022000000000000002,0.03332208185454281,0.011322081854542806
439284027,146.62,1095.823326432022,0.054,0.14866548939193175,0.09466548939193176
440033027,72.19,5794.532059489809,0.029,0.01384255195891926,-0.015157448041080742
453702222,290.72,3252.429073571174,0.084,0.09931722257898254,0.015317222578982534
459028007,66.34,4256.443098372677,0.03,0.017317537062645647,-0.012682462937354352
459821026,102.09,12600.728826728831,0.053,0.009002124789219895,-0.04399787521078011
461061012,178.4,38567.00457797511,0.116,0.005139684152069803,-0.1108603158479302
473079006,209.81,5763.648795648798,0.032,0.04044698601313377,0.008446986013133768
482007027,125.91,2452.7558802699646,0.042,0.05703788180689298,0.015037881806892979
483125006,117.0,2868.4765750681263,0.035,0.04532022367897932,0.010320223678979314
487998646,93.13,1914.9615918774468,0.064,0.05403647687592897,-0.009963523124071033
490070043,108.16999999999999,3193.0122459699946,0.04800000000000001,0.03764122390716892,-0.01035877609283109
491630094,62.01,4077.713743836138,0.023000000000000003,0.01689672309738492,-0.006103276902615085
501115000,276.76,26309.3160024213,0.038,0.011688297448812817,-0.026311702551187182
514068001,33.06,11377.069043632433,0.055,0.0032287167452756567,-0.05177128325472434
531630748,280.03,17619.547658799023,0.029,0.01765904837455132,-0.01134095162544868
546440091,106.83000000000001,6460.3666896710365,0.031,0.01837357006217309,-0.012626429937826911
581115004,66.58,4120.031092538134,0.065,0.017955635798904607,-0.047044364201095396
629020006,1000.63,115808.34560423368,0.037,0.009600440325005954,-0.027399559674994044
630072132,230.95,6158.914442365148,0.039,0.0416649903992768,0.002664990399276798
637089028,299.13,29269.87676713229,0.015,0.011355246532499502,-0.0036447534675004972
642724303,317.97,3490.158253506656,0.168,0.10122750154524655,-0.06677249845475346
646869127,151.62,9884.933573679422,0.108,0.017042771750661257,-0.09095722824933875
700121008,1137.9,6591.19709981473,0.085,0.19182150286006044,0.10682150286006044
712350378,106.66999999999999,2836.2905200075666,0.07,0.04178775812497022,-0.028212241875029784
722800403,575.4,6751.253426922049,0.042,0.09469846455235359,0.05269846455235359
729021050,66.2,4704.010569242963,0.011000000000000001,0.015636775145977864,0.004636775145977863
763728016,99.15,2848.809945922622,0.058,0.03867111838202596,-0.019328881617974046
768913300,52.290000000000006,4794.643621636578,0.042,0.012117688943097811,-0.029882311056902193
775011008,192.89000000000001,36689.84552736876,0.081,0.005841458832590307,-0.07515854116740969
787035009,224.63,30935.61855800752,0.061,0.008068010291143318,-0.05293198970885668
808022102,144.96,8482.259045302524,0.038,0.0189886521746663,-0.0190113478253337
814074149,593.61,12922.346969591246,0.043000000000000003,0.05104077983811711,0.008040779838117108
834064014,347.76,4799.243419111819,0.032,0.08051269049226718,0.04851269049226718
860077032,881.28,8422.982537657314,0.136,0.11625335748022873,-0.019746642519771276
865133035,36.519999999999996,8397.542712373697,0.011000000000000001,0.004832101385800255,-0.006167898614199746
869018002,201.33,1683.5019862766346,0.058,0.1328777761021551,0.0748777761021551
883756018,195.99,8643.825884260668,0.018,0.025193319437772654,0.007193319437772655
884610619,198.10000000000002,1230.5690322658331,0.037,0.1788693728996438,0.1418693728996438
889046039,53.879999999999995,5718.13981636517,0.036,0.01046960525437482,-0.025530394745625178
892064032,96.19999999999999,3221.7029551043634,0.038,0.033177760451048886,-0.004822239548951113
892076005,58.11,6621.574575659086,0.077,0.009750953633296497,-0.06724904636670351
912076003,48.66,6849.272989920882,0.077,0.007893781828557428,-0.06910621817144257
922041049,39.29,11381.343149807937,0.038,0.0038357120931102272,-0.03416428790688977
925200637,229.85,4641.221393840183,0.055,0.0550262241805229,2.6224180522900487e-05
951743007,734.42,63667.80775589116,0.142,0.012816873251721407,-0.1291831267482786
960470062,364.49,2518.722527279552,0.148,0.16079138710301427,0.012791387103014279
967000264,322.17,22024.000020928732,0.075,0.01625348103552951,-0.05874651896447049
973121005,204.89,6139.205916149579,0.025000000000000005,0.03708224787780661,0.012082247877806606
977027026,172.74,1640.9989165763825,0.023000000000000003,0.1169612797391506,0.0939612797391506
993189021,591.9300000000001,12859.945856690169,0.04900000000000001,0.051143294639754866,0.002143294639754857
995824014,120.59,4771.459263683265,0.082,0.028081323025999794,-0.05391867697400021
998468024,329.53,3594.431344021791,0.052,0.10186435889321153,0.04986435889321154
1011719011,134.62,2482.8652536821555,0.027,0.06024401749388128,0.033244017493881284
1020050004,148.09,11299.255164541613,0.045000000000000005,0.014562415136955593,-0.03043758486304441
1024128033,58.08,9058.209330575533,0.018,0.00712429255918212,-0.010875707440817879
1038070031,55.400000000000006,5358.594158580072,0.031,0.01148725836178395,-0.01951274163821605
1040310014,42.989999999999995,4825.327941645743,0.057,0.009899154470809956,-0.04710084552919005
1043130071,355.53000000000003,21093.831082715118,0.042,0.01872743418605617,-0.02327256581394383
1047190019,218.13,1388.5009794587263,0.072,0.17455275167407336,0.10255275167407336
1057026008,187.04,1166.207148094472,0.08600000000000001,0.17820352290053618,0.09220352290053617
1057833012,402.57,8458.622219663124,0.142,0.05288095252205439,-0.0891190474779456
1061270832,1172.06,32708.563658692627,0.053,0.039814921330022776,-0.013185078669977222
1069496294,244.97,5858.658761266553,0.042,0.046459249459691314,0.004459249459691311
1070048226,177.39000000000001,1247.075526976935,0.032,0.15804976983053684,0.12604976983053684
1075094004,74.53,7392.353349840121,0.025000000000000005,0.011202266340921342,-0.013797733659078663
1091644120,50.11,7192.129222889791,0.058,0.00774148740272585,-0.05025851259727415
1104053028,102.81,18039.94736242019,0.059,0.006332243162266529,-0.05266775683773347
1109300201,450.08,8631.602529531448,0.064,0.05793696908284716,-0.006063030917152844
1123118017,64.28999999999999,5886.366736549833,0.044000000000000004,0.012135386144017666,-0.03186461385598234
1165743010,60.11,5126.629598101427,0.023000000000000003,0.013027835854110307,-0.009972164145889697
1170007209,77.36,4025.3916146451356,0.04,0.021353339944077242,-0.01864666005592276
1175094015,62.010000000000005,4813.796658740319,0.011000000000000001,0.014313026678204114,0.003313026678204113
1183458010,776.38,10173.260511840761,0.04700000000000001,0.08479527713267579,0.03779527713267578
1198080019,74.97,4344.5904330411395,0.051,0.01917326875428656,-0.03182673124571343
1214018006,67.93,5428.951636782623,0.015,0.013902827438431267,-0.001097172561568733
1224710357,417.2,4590.745399765467,0.064,0.10097609760263285,0.036976097602632846
1231012008,150.68,15730.260564226097,0.032,0.010643321611784067,-0.021356678388215936
1238550253,207.07999999999998,10759.482104615317,0.263,0.02138475501438786,-0.24161524498561215
1246707913,99.99,2369.601468690481,0.151,0.04688552124395731,-0.10411447875604268
1248781027,93.72999999999999,1576.4578009215688,0.035,0.06606231031592692,0.03106231031592692
1252045479,229.28,11053.32321807773,0.13,0.023047869905668043,-0.10695213009433197
1254730690,2418.36,15003.928283803956,0.281,0.1790908764584826,-0.10190912354151743
1287123014,273.61,5579.104907773386,0.077,0.054491018924475026,-0.022508981075524973
1297600906,117.53,1367.1296819122904,0.09500000000000001,0.09552048398673196,0.0005204839867319483
1300140708,448.47,3007.348075876642,0.04,0.1656941555908009,0.12569415559080088
1312540131,213.26,6214.231403981559,0.055,0.03813111230517329,-0.01686888769482671
1313026015,190.84,1340.7125972618926,0.059,0.15815801602632665,0.09915801602632665
1332300338,70.65,3938.1722088759657,0.058,0.019933104962519023,-0.03806689503748098
1336040052,149.36,9652.26476465386,0.083,0.01719343175948478,-0.06580656824051523
1336057027,747.12,12192.21436217626,0.07,0.06808716683235529,-0.0019128331676447202
1345000909,514.94,6888.8779070306055,0.008,0.08305497111098875,0.07505497111098874
1352114170,112.6,2765.4301426273255,0.06,0.04524110343002481,-0.014758896569975186
1353065014,84.71,4150.46131958808,0.053,0.022677532682454572,-0.030322467317545426
1384400904,129.2,1324.6630556775488,0.06,0.10837137409416817,0.04837137409416817
1388010218,363.99,3254.069122062769,0.19099999999999998,0.12428541563276972,-0.06671458436723025
1389049004,65.61,5794.8963290230895,0.037,0.012580035234606098,-0.0244199647653939
1416360501,64.98,5932.14528054236,0.018,0.012170976364455955,-0.005829023635544044
1420082007,3278.65,26370.933619563057,0.077,0.13814241456138499,0.061142414561384986
1438016017,52.06,6652.488220699486,0.014,0.008695159243493152,-0.005304840756506848
1462133214,152.67000000000002,1695.389333671024,0.037,0.10005568040588445,0.06305568040588444
1479468026,38.7,8365.773597294725,0.014,0.005139990880688558,-0.008860009119311441
1494446008,2447.87,18211.764104857753,0.022,0.14934607871568406,0.12734607871568407
1501501607,139.09,1155.1715916933308,0.055,0.13378483816235687,0.07878483816235687
1510000826,103.97,9093.52618529083,0.072,0.012703787273311468,-0.05929621272668853
1512036002,198.3,1385.0311769607542,0.03,0.1590818582270633,0.1290818582270633
1514024000,74.84,4463.135581945441,0.022000000000000002,0.018631644508390395,-0.003368355491609607
1520245615,147.57,1599.1318359433797,0.067,0.10253480231036574,0.03553480231036574
1527530216,321.45,4030.957523777415,0.10100000000000002,0.08860591176162168,-0.012394088238378342
1538131011,640.2,71200.70201393485,0.024000000000000004,0.00999053819994804,-0.014009461800051965
1558079003,117.87,3694.601658122786,0.061,0.035448115598261914,-0.025551884401738084
1578804011,414.48,19083.46595818893,0.031,0.024132583375700335,-0.006867416624299665
1614740038,59.42,2880.0001951886015,0.056,0.0229243811623765,-0.0330756188376235
1619520320,180.45,5087.519061065656,0.103,0.03941017175432504,-0.06358982824567495
1620722153,84.13,3500.749559517164,0.042,0.026702217964620856,-0.015297782035379147
1625120510,153.9,8838.389105819837,0.058,0.019347417040895064,-0.03865258295910494
1628075017,57.2,6128.415542204275,0.016,0.010370634157861925,-0.005629365842138075
1639045007,179.04,8862.437070318409,0.037,0.022446797845210097,-0.0145532021547899
1652601803,127.47,1159.2834626457816,0.157,0.1221731680792632,-0.034826831920736795
1653265010,85.61,4456.187265004166,0.018,0.02134610072813744,0.0033461007281374404
1664255066,41.269999999999996,7603.484596780374,0.023000000000000003,0.006030860583971284,-0.01696913941602872
1676056028,312.15999999999997,3486.233877233879,0.034,0.09948972348339549,0.06548972348339549
1679008015,59.7,5860.095188067021,0.032,0.011319497585706228,-0.020680502414293773
