utility_account_number,month,contract_rate,netrate,cost,total_cost,total_charges,margin,usage,monthly_usage_kwh_x,pred_rce_scaled_usage,model_rate,term,rce,nits,icap,default_rce_x,pred_rce,pred_nits,pred_icap,pred_gross_cost,model_tot_charge,model_margin
00140060703747304,2021-06-30,0.05986,0.0598561151079136,0.0595259238500907,24.822310245487824,24.96,0.1376897545121771,417.0,980.6079365079363,912.1022769685396,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,50.55,37.113,12.290689754512176
00140060703747304,2021-07-31,0.05986,0.0598598130841121,0.0652261260509428,27.916781949803525,25.62,-2.296781949803524,428.0,1355.909999999998,1261.1855893891204,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,54.12,38.092,10.175218050196474
00140060703747304,2021-08-31,0.05986,0.0598651685393258,0.0713484715029152,31.750069818797297,26.64,-5.110069818797296,445.0,1097.786304347827,1021.0945175359872,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,63.24,39.605,7.8549301812027
00140060703747304,2021-09-30,0.05986,0.0598625429553264,0.0830878025658444,24.178550546660723,17.42,-6.758550546660722,291.0,810.5655502392332,753.9391192756049,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,67.94,25.898999999999997,1.720449453339274
00140060703747304,2021-10-31,0.05986,0.0598633257403189,0.0890385960515508,39.08794366663084,26.28,-12.807943666630834,439.0,797.9081521739138,742.1659720614516,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,85.27,39.071,-0.016943666630844234
00140060703747304,2021-11-30,0.05986,0.0598588490770901,0.0809239351316775,74.53094425627499,55.13,-19.40094425627499,921.0,979.7399999999997,911.2949748494356,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,86.13,81.969,7.438055743725002
00140060703747304,2021-12-31,0.05986,0.05986328125,0.0602182155168474,61.66345268925176,61.3,-0.3634526892517584,1024.0,1147.2299999999996,1067.0840569911588,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,63.49,91.136,29.472547310748233
00140060703747304,2022-01-31,0.05986,0.0598549107142857,0.0828402654024035,74.22487780055356,53.63,-20.594877800553554,896.0,1179.7166919191932,1097.3012157224987,0.089,12,1.342,0.0,0.0,1.2,1.1161675238525761,3.039273071160624,2.4207008946321165,85.87,79.744,5.519122199446443
00140060713348852,2021-02-28,0.0811,0.0811022044088176,0.0559042287657055,27.89621015408709,40.47,12.57378984591291,499.0,1051.09,1003.8559436755216,0.056,3,0.603,1.16,1.12,1.2,1.1460742014581302,3.035583369272043,3.037880814283254,56.64,27.944,0.04778984591290936
00140060713348852,2021-03-31,0.0811,0.0811148648648648,0.0404687503884831,11.978750114991003,24.01,12.031249885008997,296.0,960.4095707070701,917.2505265173759,0.056,3,0.603,1.16,1.12,1.2,1.1460742014581302,3.035583369272043,3.037880814283254,35.78,16.576,4.597249885008997
