utility_account_number,term,month,monthly_usage_kwh,gross_cost,computed_gross_cost,pred_gross_cost,default_rce,rce,pred_rce,default_icap_kw,icap,pred_icap,default_nits_kw,nits,pred_nits,contract_rate,netrate,pred_rce_scaled_usage,rce_scaled_usage,sum_pred_gross_cost,sum_pred_rce_scaled_usage,sum_computed_gross_cost,sum_rce_scaled_usage,model_rate,computed_rate,model_tot_charge,model_margin,computed_tot_charge,computed_margin
08004691240000926259,6,2021-02-28,754.0,108.96,120.75,81.6,0.952,0.681,1.13242894287889,3.07,1.71,2.997539944464457,3.439,1.82,2.8242866126024944,0.0799,0.0799059561128526,896.902755179289,539.3634453781514,428.84,5651.299084815984,621.56,3398.4778479573665,0.084,0.203,75.33983143506028,-6.260168564939718,109.49077941176473,-11.259220588235266
08004691240000926259,6,2021-03-31,758.4494949494963,91.39,93.0,65.82,0.952,0.681,1.13242894287889,3.07,1.71,2.997539944464457,3.439,1.82,2.8242866126024944,0.0799,0.0799059561128526,902.1955460007208,542.5463298955957,428.84,5651.299084815984,621.56,3398.4778479573665,0.084,0.203,75.78442586406055,9.964425864060559,110.13690496880594,17.136904968805936
08004691240000926259,6,2021-04-30,640.8888888888891,98.78,98.29,70.44,0.952,0.681,1.13242894287889,3.07,1.71,2.997539944464457,3.439,1.82,2.8242866126024944,0.0799,0.0799059561128526,762.3541249446126,458.45098039215713,428.84,5651.299084815984,621.56,3398.4778479573665,0.084,0.203,64.03774649534746,-6.402253504652535,93.0655490196079,-5.224450980392106
08004691240000926259,6,2021-05-31,664.3535353535353,103.25,104.66,74.24,0.952,0.681,1.13242894287889,3.07,1.71,2.997539944464457,3.439,1.82,2.8242866126024944,0.0799,0.0799059561128526,790.2659366998502,475.2360898905017,428.84,5651.299084815984,621.56,3398.4778479573665,0.084,0.203,66.38233868278742,-7.857661317212575,96.47292624777185,-8.187073752228144
08004691240000926259,6,2021-06-30,860.1904761904772,90.46,99.56,67.28,0.952,0.681,1.13242894287889,3.07,1.71,2.997539944464457,3.439,1.82,2.8242866126024944,0.0799,0.0799059561128526,1023.2191088517554,615.3253301320536,428.84,5651.299084815984,621.56,3398.4778479573665,0.084,0.203,85.95040514354746,18.670405143547455,124.9110420168069,25.3510420168069
08004691240000926259,6,2021-07-31,1072.999999999999,91.26,105.3,69.46,0.952,0.681,1.13242894287889,3.07,1.71,2.997539944464457,3.439,1.82,2.8242866126024944,0.0799,0.0799059561128526,1276.3616131397564,767.5556722689071,428.84,5651.299084815984,621.56,3398.4778479573665,0.084,0.203,107.21437550373955,37.75437550373955,155.81380147058815,50.51380147058815
08005496860000559652,6,2021-02-28,754.0,108.96,149.74,87.09,0.952,0.542,0.9897869900088674,3.07,1.57,2.2115161692920093,3.439,1.61,2.1883463286081586,0.0899,0.0898863636363636,783.9279311624853,429.27310924369755,452.23,4939.455447491239,768.8400000000001,2704.8090948500626,0.102,0.316,79.96064897857349,-7.1293510214265154,135.65030252100843,-14.089697478991582
08005496860000559652,6,2021-03-31,758.4494949494963,91.39,114.69,68.41,0.952,0.542,0.9897869900088674,3.07,1.57,2.2115161692920093,3.439,1.61,2.1883463286081586,0.0899,0.0898863636363636,788.5540364283693,431.8063301078015,452.23,4939.455447491239,768.8400000000001,2704.8090948500626,0.102,0.316,80.43251171569366,12.022511715693668,136.45080031406528,21.76080031406528
08005496860000559652,6,2021-04-30,640.8888888888891,98.78,121.01,72.68,0.952,0.542,0.9897869900088674,3.07,1.57,2.2115161692920093,3.439,1.61,2.1883463286081586,0.0899,0.0898863636363636,666.3271893523751,364.87581699346424,452.23,4939.455447491239,768.8400000000001,2704.8090948500626,0.102,0.316,67.96537331394225,-4.7146266860577555,115.3007581699347,-5.709241830065309
08005496860000559652,6,2021-05-31,664.3535353535353,103.25,129.03,77.06,0.952,0.542,0.9897869900088674,3.07,1.57,2.2115161692920093,3.439,1.61,2.1883463286081586,0.0899,0.0898863636363636,690.7231996421485,378.23489092606746,452.23,4939.455447491239,768.8400000000001,2704.8090948500626,0.102,0.316,70.45376636349914,-6.6062336365008605,119.52222553263732,-9.50777446736268
08005496860000559652,6,2021-06-30,860.1904761904772,90.46,123.44,71.8,0.952,0.542,0.9897869900088674,3.07,1.57,2.2115161692920093,3.439,1.61,2.1883463286081586,0.0899,0.0898863636363636,894.3333427130952,489.73029211684735,452.23,4939.455447491239,768.8400000000001,2704.8090948500626,0.102,0.316,91.22200095673571,19.422000956735715,154.75477230892378,31.31477230892378
08005496860000559652,6,2021-07-31,1072.999999999999,91.26,130.93,75.19,0.952,0.542,0.9897869900088674,3.07,1.57,2.2115161692920093,3.439,1.61,2.1883463286081586,0.0899,0.0898863636363636,1115.5897481927666,610.8886554621845,452.23,4939.455447491239,768.8400000000001,2704.8090948500626,0.102,0.316,113.79015431566218,38.60015431566218,193.0408151260503,62.110815126050284
08013905950000912058,3,2021-01-31,859.0252525252523,87.09,96.48,42.8,0.952,0.642,1.865837812865235,3.07,1.7,4.068962649377282,3.439,1.81,4.413251094537646,0.0749,0.0749056603773584,1683.6153344198772,579.3006429844664,141.49,4647.885773207375,322.96,1599.2508276037697,0.034,0.224,57.24292137027583,14.442921370275833,129.7633440285205,33.28334402852049
08013905950000912058,3,2021-02-28,754.0,108.96,127.96,53.91,0.952,0.642,1.865837812865235,3.07,1.7,4.068962649377282,3.439,1.81,4.413251094537646,0.0749,0.0749056603773584,1477.7749064079699,508.4747899159664,141.49,4647.885773207375,322.96,1599.2508276037697,0.034,0.224,50.24434681787098,-3.66565318212902,113.89835294117648,-14.06164705882351
08013905950000912058,3,2021-03-31,758.4494949494963,91.39,98.52,44.78,0.952,0.642,1.865837812865235,3.07,1.7,4.068962649377282,3.439,1.81,4.413251094537646,0.0749,0.0749056603773584,1486.4955323795277,511.4753947033368,141.49,4647.885773207375,322.96,1599.2508276037697,0.034,0.224,50.54084810090394,5.760848100903942,114.57048841354745,16.050488413547455
08016628060006426833,3,2021-02-28,754.0,108.96,148.82,65.99,0.952,0.573,1.4418299628188296,3.07,2.11,3.3360055593316256,3.439,2.45,2.9167069180840626,0.1099,0.1098814229249011,1141.953562988863,453.82563025210084,177.5,3261.2897078845144,388.71,1296.0744684237338,0.06,0.333,68.51721377933178,2.527213779331788,151.1239348739496,2.3039348739496006
08016628060006426833,3,2021-03-31,758.4494949494963,91.39,116.38,53.79,0.952,0.573,1.4418299628188296,3.07,2.11,3.3360055593316256,3.439,2.45,2.9167069180840626,0.1099,0.1098814229249011,1148.6924444359163,456.50374013241736,177.5,3261.2897078845144,388.71,1296.0744684237338,0.06,0.333,68.92154666615498,15.131546666154982,152.01574546409498,35.63574546409498
08016628060006426833,3,2021-04-30,640.8888888888891,98.78,123.51,57.72,0.952,0.573,1.4418299628188296,3.07,2.11,3.3360055593316256,3.439,2.45,2.9167069180840626,0.1099,0.1098814229249011,970.6437004597353,385.7450980392158,177.5,3261.2897078845144,388.71,1296.0744684237338,0.06,0.333,58.238622027584114,0.5186220275841151,128.45311764705886,4.943117647058855
08017281780000781166,3,2021-01-31,859.0252525252523,87.09,59.21,53.9,0.952,1.388,1.4347381361108267,3.07,4.3381,3.697267087760999,3.439,3.9506,3.234233332915694,0.0749,0.0749029126213592,1294.6179513447612,1252.4443807826158,178.44,3573.997120825435,195.48000000000002,3457.5703250997385,0.055,0.063,71.20398732396187,17.30398732396187,78.90399598930479,19.69399598930479
