utility_account_number,term,month,monthly_usage_kwh,gross_cost,computed_gross_cost,pred_gross_cost,default_rce,rce,pred_rce,default_icap_kw,icap,pred_icap,default_nits_kw,nits,pred_nits,contract_rate,netrate,pred_rce_scaled_usage,rce_scaled_usage,sum_pred_gross_cost,sum_pred_rce_scaled_usage,sum_computed_gross_cost,sum_rce_scaled_usage,model_rate,computed_rate,model_tot_charge,model_margin,computed_tot_charge,computed_margin
00140060703747304,12,2021-06-30,980.6079365079363,54.15,34.14,50.55,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,912.1022769685396,1096.6465423280422,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,81.17710265020003,30.62710265020003,58.122266743386234,23.982266743386234
00140060703747304,12,2021-07-31,1355.909999999998,55.66,39.1,54.12,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,1261.1855893891204,1516.359349999998,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,112.24551745563171,58.125517455631716,80.36704554999989,41.267045549999885
00140060703747304,12,2021-08-31,1097.786304347827,65.4,45.27,63.24,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,1021.0945175359872,1227.6910170289864,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,90.87741206070285,27.63741206070285,65.06762390253628,19.79762390253628
00140060703747304,12,2021-09-30,810.5655502392332,71.82,46.95,67.94,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,753.9391192756049,906.4824736842091,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,67.10058161552882,-0.8394183844711733,48.043571105263084,1.0935711052630808
00140060703747304,12,2021-10-31,797.9081521739138,88.36,60.89,85.27,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,742.1659720614516,892.3272835144936,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,66.0527715134692,-19.2172284865308,47.29334602626816,-13.59665397373184
00140060703747304,12,2021-11-30,979.7399999999997,87.25,63.71,86.13,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,911.2949748494356,1095.6758999999997,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,81.10525276159976,-5.024747238400238,58.07082269999999,-5.639177300000014
00140060703747304,12,2021-12-31,1147.2299999999996,65.35,45.8,63.49,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,1067.0840569911588,1282.9855499999996,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,94.97048107221313,31.48048107221313,67.99823414999997,22.198234149999976
00140060703747304,12,2022-01-31,1179.7166919191932,86.0,64.62,85.87,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,1097.3012157224987,1319.3165004629645,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,97.65980819930238,11.789808199302371,69.92377452453712,5.303774524537118
00140060703747304,12,2022-02-28,1051.09,67.29,47.72,65.67,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,977.6604355385035,1175.4689833333334,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,87.01177876292681,21.341778762926808,62.29985611666667,14.579856116666669
00140060703747304,12,2022-03-31,960.4095707070701,69.21,46.81,66.33,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,893.3149770170218,1074.0580365740734,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,79.50503295451493,13.175032954514933,56.92507593842589,10.115075938425889
00140060703747304,12,2022-04-30,788.6549999999996,95.6,67.72,93.26,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,733.5592487699608,881.9791749999996,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,65.2867731405265,-27.9732268594735,46.74489627499998,-20.975103725000018
00140060703747304,12,2022-05-31,853.2459848484841,109.06,80.55,108.15,1.2,1.342,1.1161675238525761,3.33,0.0,2.4207008946321165,3.41325,0.0,3.039273071160624,0.05986,0.0598561151079136,793.6378817879043,954.2134263888881,890.02,11164.340265907189,643.28,13423.20423831499,0.089,0.053,70.63377147912348,-37.516228520876524,50.57331159861107,-29.976688401388927
00140060713348852,3,2021-02-28,1051.09,56.6,101.97,56.64,1.2,0.603,1.1460742014581302,3.33,1.12,3.037880814283254,3.41325,1.16,3.035583369272043,0.0811,0.0811022044088176,1003.8559436755216,528.172725,134.66,2673.6018119932473,235.27,1406.6994009469695,0.056,0.186,56.215932845829215,-0.42406715417078544,98.24012685,-3.729873150000003
00140060713348852,3,2021-03-31,960.4095707070701,37.21,61.12,35.78,1.2,0.603,1.1460742014581302,3.33,1.12,3.037880814283254,3.41325,1.16,3.035583369272043,0.0811,0.0811022044088176,917.2505265173759,482.60580928030276,134.66,2673.6018119932473,235.27,1406.6994009469695,0.056,0.186,51.36602948497305,15.586029484973047,89.76468052613632,28.64468052613632
00140060713348852,3,2021-04-30,787.9022222222221,43.92,72.18,42.24,1.2,0.603,1.1460742014581302,3.33,1.12,3.037880814283254,3.41325,1.16,3.035583369272043,0.0811,0.0811022044088176,752.4953418003496,395.92086666666665,134.66,2673.6018119932473,235.27,1406.6994009469695,0.056,0.186,42.13973914081958,-0.10026085918042327,73.6412812,1.4612811999999877
00140060770493210,12,2021-06-30,980.6079365079363,54.15,18.99,31.68,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1559.7251538473683,1971.8391256613752,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,49.91120492311579,18.23120492311579,31.549426010582003,12.559426010582005
00140060770493210,12,2021-07-31,1355.909999999998,55.66,21.75,33.23,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,2156.6691993993118,2726.5090249999957,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,69.01341438077797,35.78341438077798,43.624144399999935,21.874144399999935
00140060770493210,12,2021-08-31,1097.786304347827,65.4,25.18,38.94,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1746.1055011832352,2207.465293659422,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,55.875376037863525,16.935376037863527,35.319444698550754,10.139444698550754
00140060770493210,12,2021-09-30,810.5655502392332,71.82,26.11,42.3,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1289.260906914996,1629.9122272727247,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,41.256349021279874,-1.0436509787201231,26.0785956363636,-0.0314043636364012
00140060770493210,12,2021-10-31,797.9081521739138,88.36,33.87,52.56,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1269.1284345886536,1604.4603093297117,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,40.61210990683691,-11.947890093163089,25.671364949275386,-8.198635050724612
00140060770493210,12,2021-11-30,979.7399999999997,87.25,35.43,52.49,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1558.344640440357,1970.0938499999993,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,49.86702849409142,-2.6229715059085805,31.52150159999999,-3.90849840000001
00140060770493210,12,2021-12-31,1147.2299999999996,65.35,25.47,39.0,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1824.7491394169783,2306.888324999999,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,58.39197246134331,19.391972461343308,36.91021319999999,11.440213199999988
00140060770493210,12,2022-01-31,1179.7166919191932,86.0,35.94,52.04,1.2,2.413,1.9086834961606434,3.33,0.0,3.266432232563047,3.41325,0.0,3.864906196039661,0.05986,0.0598574483250178,1876.4214833428287,2372.2136480008444,546.47,19091.392246844567,357.78000000000003,24135.7614210537,0.032,0.016,60.04548746697052,8.005487466970521,37.95541836801351,2.0154183680135134
